duplicate_group,image_name,dog_id,duplicate_type
1,-46Y2mftRrCmlEzefbfWpQAAACMAARED.jpg,5146,SAME_DOG_ID
1,KOyB17SgSU2DfluUIpZSxgAAACMAARAD.jpg,5146,SAME_DOG_ID
1,qTCdQQZFS7qvINY1iLyp2wAAACMAARED.jpg,5146,SAME_DOG_ID
2,-klaK4SPTX2NaJwGjddxcAAAACMAARAD.jpg,2867,SAME_DOG_ID
2,3N6xBEstT0Ood7MO8c2owAAAACMAARED.jpg,2867,SAME_DOG_ID
3,1-dWWbXST4y5ds1thWeNHQAAACMAARED.jpg,4040,SAME_DOG_ID
3,Dl7Y8UauQI2L9XJCzWgM0AAAACMAARAD.jpg,4040,SAME_DOG_ID
4,13lD9vBzRDedqvhV_BCaawAAACMAARED.jpg,1806,SAME_DOG_ID
4,9E3gq6i9QnqpQnMlI91rgAAAACMAARED.jpg,1806,SAME_DOG_ID
4,OCx_Oa6wRmy8LG6zG9ofnAAAACMAARAD.jpg,1806,SAME_DOG_ID
5,1LKZ0le2Q2yfopXd5bQ2xAAAACMAARED.jpg,2535,SAME_DOG_ID
5,8sZais4SSzaZyplF7eOj3gAAACMAARAD.jpg,2535,SAME_DOG_ID
6,1mdgCTLZTRayFRSpTtnSEAAAACMAARED.jpg,3019,SAME_DOG_ID
6,uHAC0MwuRKqpXCp7dNyr2AAAACMAARAD.jpg,3019,SAME_DOG_ID
7,1OWb1h0MTvaTz2XnfN7jZQAAACMAARAD.jpg,43,SAME_DOG_ID
7,on_ZpPM-S9WHmlUxYg2zfAAAACMAARED.jpg,43,SAME_DOG_ID
8,1xB4LZXbT8SCNlWnwZg0MgAAACMAARED.jpg,54,SAME_DOG_ID
8,YOBroeTpR4u94j0Q2MDmOgAAACMAARAD.jpg,54,SAME_DOG_ID
9,3R9IpJ78RNWtmSUJwTLTHgAAACMAARAD.jpg,4288,SAME_DOG_ID
9,lpNeoCv5TZmwTjmSTu0sPwAAACMAARED.jpg,4288,SAME_DOG_ID
10,40cC6HWzRva34jaC_YZZAwAAACMAARED.jpg,5778,SAME_DOG_ID
